DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1962,1.0,1,389000,0,389000,Other,Other,389000.0,Aucun,0.0,Aucun,0.0,,54.501223650385604,64.5,151.6000061,152.1000061,21200976.0,23736924.0,6093150.0,14419146.0,688680.0,607.41,1.56
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1962,1.0,1,91213,0,91213,Other,Other,91213.0,Aucun,0.0,Aucun,0.0,,86.32810016116123,125.9000015,261.7000122,265.3999939,7874245.0,8181881.0,4120130.0,3754115.0,0.0,344.2,3.77
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1938,1.0,5,396085,0,396085,Other,Other,396085.0,Aucun,0.0,Aucun,0.0,,42.96051352613706,76.30000305,138.1000061,140.0,17016015.0,21257836.0,9763690.0,7252325.0,0.0,804.2,2.03
2016,NonResidential,Large Office,7,LAKE UNION,2010,1.0,12,571329,0,571329,"Office, Other, Parking",Office,571329.0,Aucun,0.0,Aucun,0.0,91.0,69.3223764240919,64.19999695,174.1999969,176.3999939,39605884.0,40153432.0,0.0,32206199.0,7399685.0,617.52,1.08
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1962,1.0,2,52000,0,52000,Other,Other,52000.0,Aucun,0.0,Aucun,0.0,,47.99478846153846,51.59999847,110.4000015,109.5,2495729.0,2682242.75,1202380.0,1293349.0,0.0,101.83,1.96
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1928,1.0,1,60696,0,60696,Other,Other,60696.0,Aucun,0.0,Aucun,0.0,,14.431642941874259,8.100000381,25.5,25.5,875943.0,875943.3125,0.0,875943.0,0.0,6.11,0.1
2016,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,1928,1.0,2,262048,0,262048,Other,Other,262048.0,Aucun,0.0,Aucun,0.0,,71.16980858468678,70.30000305,171.1999969,175.1999969,18649906.0,20823520.0,5137220.0,13512686.0,0.0,490.73,1.87
2016,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1986,1.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,,62.89711654589372,75.40000153,235.1999969,236.6000061,4166305.0,4192107.75,0.0,4166305.0,0.0,29.04,0.44
2016,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,2010,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,Parking,185014.0,Other,6000.0,93.0,39.82959011425182,51.79999924,130.8000031,131.6000061,36667041.0,38105108.0,0.0,27597261.0,9069780.0,674.09,0.73
2016,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1970,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,Parking,21454.0,Other,2406.0,68.0,45.61179851206487,71.59999847,192.3999939,196.0,3476212.0,3647345.75,0.0,2944692.0,531520.0,48.76,0.64
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,2002,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,Parking,36934.0,Aucun,0.0,56.0,53.19955628934063,87.90000153,182.1999969,188.3999939,5155569.0,5274523.0,0.0,2637011.0,2518558.0,152.14,1.57
2016,NonResidential,Hotel,4,NORTHEAST,1962,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,Aucun,0.0,Aucun,0.0,53.0,108.94245956374833,110.5,203.3000031,205.8000031,5448975.0,5528580.5,0.0,2128306.0,3320669.0,191.2,3.82
2016,NonResidential,K-12 School,3,EAST,1923,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,Aucun,0.0,Aucun,0.0,34.0,39.072361720030116,44.79999924,82.30000305,89.30000305,2646879.0,3036464.0,0.0,1337786.0,1309093.0,78.85,1.16
2016,NonResidential,K-12 School,3,EAST,1908,1.0,6,194104,0,194104,K-12 School,K-12 School,194104.0,Aucun,0.0,Aucun,0.0,100.0,32.043863083707706,37.09999847,54.0,60.09999847,6219842.0,7204080.0,0.0,1887893.0,4331949.0,243.23,1.25
2016,NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,2003,1.0,3,99433,35752,63681,"Office, Parking",Office,63681.0,Parking,35752.0,Aucun,0.0,63.0,49.256886546719905,78.19999695,241.5,245.6000061,4897760.0,4980737.5,0.0,4897760.0,0.0,34.14,0.34
2016,NonResidential,Other,4,NORTHEAST,1941,1.0,4,56521,0,56521,Other,Other,56521.0,Aucun,0.0,Aucun,0.0,,112.48263477291626,129.8999939,407.3999939,408.0,6357631.0,6367210.0,0.0,6357631.0,0.0,44.32,0.78
2016,NonResidential,Other,4,NORTHEAST,1929,1.0,2,206934,0,206934,"Other, Parking",Other,206934.0,Aucun,0.0,Aucun,0.0,,20.555235002464553,36.79999924,72.59999847,72.90000153,4253577.0,4384625.5,0.0,2001103.0,2252474.0,133.58,0.65
2016,NonResidential,Hotel,5,NORTHWEST,2001,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,51390.0,Aucun,0.0,Aucun,0.0,89.0,70.27705779334501,70.40000153,130.6999969,130.8999939,3611538.0,3616214.0,0.0,1398289.0,2213249.0,127.29,2.48
2016,SPS-District K-12,K-12 School,5,NORTHWEST,1959,1.0,1,245587,0,245587,K-12 School,K-12 School,245587.0,Aucun,0.0,Aucun,0.0,92.0,47.908403132087614,52.40000153,83.69999695,89.09999847,11765681.0,12870916.0,0.0,3926011.0,7839670.0,443.73,1.81
2016,NonResidential,Hotel,5,NORTHWEST,2002,1.0,3,69138,0,69138,Hotel,Hotel,69138.0,Aucun,0.0,Aucun,0.0,78.0,46.89833376724811,47.09999847,101.5999985,104.6999969,3242457.0,3323400.5,0.0,1802889.0,1439568.0,89.02,1.29
2016,NonResidential,Hotel,7,DOWNTOWN,1904,1.0,5,190980,0,190980,"Hotel, Parking",Hotel,190980.0,Aucun,0.0,Aucun,0.0,98.0,34.0663629699445,34.09999847,84.0,84.0,6505994.0,6505995.0,0.0,4402910.0,2103084.0,142.39,0.75
2016,Nonresidential COS,Other,7,DOWNTOWN,1998,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,Entertainment/Public Assembly,284100.0,Aucun,0.0,Aucun,0.0,,51.536430834213306,78.40000153,192.5,192.0,14641500.0,14881950.0,4311136.0,9803021.0,527343.0,429.12,1.51
2016,NonResidential,Hospital,6,BALLARD,1954,4.0,5,285333,0,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),285333.0,Aucun,0.0,Aucun,0.0,14.0,238.6359692008986,157.3000031,479.5,251.8000031,68090717.0,47602720.0,0.0,35237205.0,32853512.0,1990.5,6.98
2016,Nonresidential COS,Other,2,DOWNTOWN,2006,1.0,4,61156,0,61156,"Office, Other",Other,61156.0,Aucun,0.0,Aucun,0.0,,153.10638367453726,132.6999969,338.2999878,337.1000061,9363374.0,9550716.0,0.0,6947270.0,2416104.0,176.75,2.89
2016,NonResidential,Other,2,DOWNTOWN,1910,1.0,4,72820,13820,59000,Museum,Museum,58000.0,Aucun,0.0,Aucun,0.0,,27.608541609447954,36.09999847,83.69999695,85.19999695,2010454.0,2095175.25,0.0,1311669.0,698785.0,46.26,0.64
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,14200,148022,"Hotel, Parking",Hotel,113702.0,Parking,32692.0,Aucun,0.0,76.0,48.98818286052447,70.5,150.5,151.1999969,7946961.0,8016521.0,0.0,4197462.0,3749499.0,228.4,1.41
2016,NonResidential,University,3,EAST,1915,1.0,3,63330,0,63330,College/University,College/University,63330.0,Aucun,0.0,Aucun,0.0,,48.3145112900679,50.70000076,111.1999969,116.0,3059758.0,3284214.5,0.0,1911064.0,1148694.0,74.33,1.17
